Namespace(filename='tmp.csv')
Sun Jul  1 08:43:17 2018    tmp.csv

         318233 function calls (315963 primitive calls) in 6.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imagingft.getfont}
        1    0.000    0.000    0.000    0.000 numeric.py:374(<listcomp>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:919(exec_module)
       63    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
      127    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
       20    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
      111    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 queue.py:27(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        5    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
      122    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 case.py:337(TestCase)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:338(prep_simple)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
      308    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        6    0.000    0.000    0.000    0.000 sre_compile.py:379(_bytes_to_codes)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        4    0.000    0.000    0.000    0.000 threading.py:496(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       13    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:2035(new)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
